 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 
   384    3.400          12.000        1542.000         793.000;
   385    3.409          12.000        1542.000         793.000;
   386    3.418          12.000        1542.000         793.000;
   387    3.427          12.000        1542.000         793.000;
   388    3.435          12.000        1542.000         793.000;
   389    3.444          12.000        1542.000         793.000;
   390    3.453          12.000        1542.000         793.000;
   391    3.462          12.000        1542.000         793.000;
   392    3.471          12.000        1542.000         793.000;
   393    3.480          12.000        1542.000         793.000;
   394    3.489          12.000        1542.000         793.000;
   395    3.497          12.000        1542.000         793.000;
   396    3.506          12.000        1542.000         793.000;
   397    3.515          12.000        1542.000         793.000;
   398    3.524          12.000        1542.000         793.000;
   399    3.533          12.000        1542.000         793.000;
   400    3.542          12.000        1542.000         793.000;
   401    3.551          12.000        1542.000         793.000;
   402    3.559          12.000        1542.000         793.000;
   403    3.568          12.000        1542.000         793.000;
   404    3.577          12.000        1542.000         793.000;
   405    3.586          12.000        1542.000         793.000;
   406    3.595          12.000        1542.000         793.000;
   407    3.604          12.000        1542.000         793.000;
   408    3.613          12.000        1542.000         793.000;
   409    3.621          12.000        1542.000         793.000;
   410    3.630          12.000        1542.000         793.000;
   411    3.639          12.000        1542.000         793.000;
   412    3.648          12.000        1542.000         793.000;
   413    3.657          12.000        1542.000         793.000;
   414    3.666          12.000        1542.000         793.000;
   415    3.674          12.000        1542.000         793.000;
   416    3.683          12.000        1542.000         793.000;
   417    3.692          12.000        1542.000         793.000;
   418    3.701          12.000        1542.000         793.000;
   419    3.710          12.000        1542.000         793.000;
   420    3.719          12.000        1542.000         793.000;
   421    3.728          12.000        1542.000         793.000;
   422    3.736          12.000        1542.000         793.000;
   423    3.745          12.000        1542.000         793.000;
   424    3.754          12.000        1542.000         793.000;
   425    3.763          12.000        1542.000         793.000;
   426    3.772          12.000        1542.000         793.000;
   427    3.781          12.000        1542.000         793.000;
   428    3.790          12.000        1542.000         793.000;
   429    3.798          12.000        1542.000         793.000;
   430    3.807          12.000        1542.000         793.000;
   431    3.816          12.000        1542.000         793.000;
   432    3.825          12.000        1542.000         793.000;
   433    3.834          12.000        1542.000         793.000;
   434    3.843          12.000        1542.000         793.000;
   435    3.852          12.000        1542.000         793.000;
   436    3.860          12.000        1542.000         793.000;
   437    3.869          12.000        1542.000         793.000;
   438    3.878          12.000        1542.000         793.000;
   439    3.887          12.000        1542.000         793.000;
   440    3.896          12.000        1542.000         793.000;
   441    3.905          12.000        1542.000         793.000;
   442    3.914          12.000        1542.000         793.000;
   443    3.922          12.000        1542.000         793.000;
   444    3.931          12.000        1542.000         793.000;
   445    3.940          12.000        1542.000         793.000;
   446    3.949          12.000        1542.000         793.000;
   447    3.958          12.000        1542.000         793.000;
   448    3.967          12.000        1542.000         793.000;
   449    3.976          12.000        1542.000         793.000;
   450    3.984          12.000        1542.000         793.000;
   451    3.993          12.000        1542.000         793.000;
   452    4.002          12.000        1542.000         793.000;
   453    4.011          12.000        1542.000         793.000;
   454    4.020          12.000        1542.000         793.000;
   455    4.029          12.000        1542.000         793.000;
   456    4.038          12.000        1542.000         793.000;
   457    4.046          12.000        1542.000         793.000;
   458    4.055          12.000        1542.000         793.000;
   459    4.064          12.000        1542.000         793.000;
   460    4.073          12.000        1542.000         793.000;
   461    4.082          12.000        1542.000         793.000;
   462    4.091          12.000        1542.000         793.000;
   463    4.099          12.000        1542.000         793.000;
   464    4.108          12.000        1542.000         793.000;
   465    4.117          12.000        1542.000         793.000;
   466    4.126          12.000        1542.000         793.000;
   467    4.135          12.000        1542.000         793.000;
   468    4.144          12.000        1542.000         793.000;
   469    4.153          12.000        1542.000         793.000;
   470    4.161          12.000        1542.000         793.000;
   471    4.170          12.000        1542.000         793.000;
